eps,dataset,expertType,model,f1,precision,recall
0.6,Victim,llm,Bayesian Network,0.8097992193379581,0.757241797758381,0.8701964133219471
0.7,Victim,llm,Bayesian Network,0.8061239288941909,0.7650109144803564,0.8638360175695461
0.8,Victim,llm,Bayesian Network,0.8163303542437923,0.7798983491717881,0.8731582319026265
0.9,Victim,llm,Bayesian Network,0.8072860771651871,0.7644075350800064,0.8644646924829157
0.1,Victim,Non-expert,Random Forest,0.805927986142863,0.7911103424420617,0.8214285714285714
0.2,Victim,Non-expert,Random Forest,0.842476247541397,0.8328696026905745,0.8670076726342711
0.3,Victim,Non-expert,Random Forest,0.8367740074939533,0.828067909753127,0.8532423208191127
0.4,Victim,Non-expert,Random Forest,0.8552442224134673,0.844954551975376,0.8706786171574904
0.5,Victim,Non-expert,Random Forest,0.8641987821707299,0.8559298440979956,0.8770491803278688
0.6,Victim,Non-expert,Random Forest,0.8477043549791453,0.8384717940520982,0.860802732707088
0.7,Victim,Non-expert,Random Forest,0.8460430458101538,0.8373784002108813,0.8594436310395315
0.8,Victim,Non-expert,Random Forest,0.8338440623725052,0.8246419981031763,0.8468930172966047
0.9,Victim,Non-expert,Random Forest,0.8397602795130062,0.8269146355543782,0.8616173120728929
0.1,Victim,Non-expert,Decision Tree,0.8001718358861216,0.8121553502702762,0.7908163265306123
0.2,Victim,Non-expert,Decision Tree,0.8193459718395779,0.8205567157903415,0.8184143222506394
0.3,Victim,Non-expert,Decision Tree,0.8264272396102577,0.8328468442910021,0.8208191126279863
0.4,Victim,Non-expert,Decision Tree,0.8262642769732582,0.8334326432280968,0.8207426376440461
0.5,Victim,Non-expert,Decision Tree,0.8314350975410348,0.8488560268946758,0.8176229508196722
0.6,Victim,Non-expert,Decision Tree,0.825326567666482,0.8333251479123077,0.8181041844577285
0.7,Victim,Non-expert,Decision Tree,0.8183070360885083,0.833492845918243,0.8060029282576867
0.8,Victim,Non-expert,Decision Tree,0.812557896610269,0.8287149695093964,0.7988468930172966
0.9,Victim,Non-expert,Decision Tree,0.7812327136926877,0.821483911964817,0.7522779043280182
0.1,Victim,Non-expert,KNN,0.8182157336832129,0.8087657096737,0.8316326530612245
0.2,Victim,Non-expert,KNN,0.8237760271337993,0.8130402645138048,0.8388746803069054
0.3,Victim,Non-expert,KNN,0.8175559106910285,0.8078442607087648,0.8293515358361775
0.4,Victim,Non-expert,KNN,0.8074922365961705,0.7935455906214165,0.8220230473751601
0.5,Victim,Non-expert,KNN,0.8295361915698767,0.8235274504993961,0.8360655737704918
0.6,Victim,Non-expert,KNN,0.8147241458721867,0.8027240912812244,0.829205807002562
0.7,Victim,Non-expert,KNN,0.8136297324001018,0.7956141946643038,0.8418740849194729
0.8,Victim,Non-expert,KNN,0.8220055540898403,0.807690823231057,0.846252402306214
0.9,Victim,Non-expert,KNN,0.8136042068099001,0.8017552548568161,0.8280182232346242
0.1,Victim,Non-expert,SVM,0.8057321289171406,0.7522907122032486,0.8673469387755102
0.2,Victim,Non-expert,SVM,0.7979609904162333,0.7428588248376188,0.8618925831202046
0.3,Victim,Non-expert,SVM,0.8075209998909096,0.7544671458025137,0.8686006825938567
0.4,Victim,Non-expert,SVM,0.815979583412047,0.7647849616614832,0.8745198463508322
0.5,Victim,Non-expert,SVM,0.8240061196229955,0.7746164085595271,0.8801229508196722
0.6,Victim,Non-expert,SVM,0.8097992193379581,0.757241797758381,0.8701964133219471
0.7,Victim,Non-expert,SVM,0.8049010995320529,0.7512803088604448,0.8667642752562226
0.8,Victim,Non-expert,SVM,0.8057974008392826,0.7523700907900414,0.8673926969891096
0.9,Victim,Non-expert,SVM,0.8097464340115255,0.7571774741725084,0.8701594533029613
