eps,dataset,expertType,model,f1,precision,recall,llmName
0.1,Criminal,human,Bayesian Network,0.9073943244696852,0.8790803856675108,0.937592867756315,None
0.2,Criminal,human,Bayesian Network,0.9007863883328567,0.8706485537789694,0.9330855018587361,None
0.3,Criminal,human,Bayesian Network,0.8921101192379921,0.8596175058762514,0.9271555996035679,None
0.4,Criminal,human,Bayesian Network,0.8937139818376367,0.8616532386230151,0.9282527881040892,None
0.5,Criminal,human,Bayesian Network,0.895960623890556,0.8655257278465979,0.9286139202855443,None
0.6,Criminal,human,Bayesian Network,0.8920837349121117,0.8595840300714475,0.9271375464684015,None
0.7,Criminal,human,Bayesian Network,0.8966111876476909,0.8661836377690086,0.9292543021032504,None
0.8,Criminal,human,Bayesian Network,0.8967045692511181,0.8654532482967344,0.9302973977695167,None
0.9,Criminal,human,Bayesian Network,0.893989085590265,0.8628481452432933,0.9274619960343689,None
0.1,Criminal,llm,Bayesian Network,0.8899918368095684,0.8569312188002977,0.9257057949479941,ChatGLM4Flash
0.2,Criminal,llm,Bayesian Network,0.890625941927057,0.8581552044609665,0.9256505576208178,ChatGLM4Flash
0.3,Criminal,llm,Bayesian Network,0.9112185526986807,0.8845509462456934,0.9395441030723488,ChatGLM4Flash
0.4,Criminal,llm,Bayesian Network,0.8909972897318283,0.858205939663631,0.9263940520446097,ChatGLM4Flash
0.5,Criminal,llm,Bayesian Network,0.8917707897353718,0.8595237209994051,0.9265318262938727,ChatGLM4Flash
0.6,Criminal,llm,Bayesian Network,0.8973789895822293,0.8673029807456848,0.9296158612143742,ChatGLM4Flash
0.7,Criminal,llm,Bayesian Network,0.8930766036282046,0.8703986758638862,0.9262800084979818,ChatGLM4Flash
0.8,Criminal,llm,Bayesian Network,0.8913041927886585,0.8653373550803882,0.9221189591078067,ChatGLM4Flash
0.9,Criminal,llm,Bayesian Network,0.8935364373610609,0.8690642985389561,0.9256444150693985,ChatGLM4Flash
0.1,Criminal,Non-expert,Random Forest,0.903348568347534,0.8972071819264971,0.9167904903417533,None
0.2,Criminal,Non-expert,Random Forest,0.9141376987978989,0.9091706910329014,0.9226765799256506,None
0.3,Criminal,Non-expert,Random Forest,0.9168755533848725,0.9132769633408291,0.9276511397423192,None
0.4,Criminal,Non-expert,Random Forest,0.916258234397948,0.9112441521787815,0.9256505576208178,None
0.5,Criminal,Non-expert,Random Forest,0.9212127209945804,0.9168889382062474,0.9318857822724569,None
0.6,Criminal,Non-expert,Random Forest,0.9212944259839376,0.9166479214868527,0.9308550185873606,None
0.7,Criminal,Non-expert,Random Forest,0.9163390786412688,0.9120521002808994,0.9281920543870831,None
0.8,Criminal,Non-expert,Random Forest,0.9125199812673986,0.9063594940573063,0.9254646840148699,None
0.9,Criminal,Non-expert,Random Forest,0.902033326050381,0.8908780551172539,0.9200264375413086,None
0.1,Criminal,Non-expert,Decision Tree,0.900287051212807,0.8962692005564967,0.9049034175334324,None
0.2,Criminal,Non-expert,Decision Tree,0.9043850251310948,0.9020677428497758,0.9070631970260223,None
0.3,Criminal,Non-expert,Decision Tree,0.9005508675138634,0.8999107302822145,0.9013875123885035,None
0.4,Criminal,Non-expert,Decision Tree,0.9010482362676611,0.901520899228781,0.9007434944237919,None
0.5,Criminal,Non-expert,Decision Tree,0.9034860767593529,0.9064545963596181,0.9006543723973826,None
0.6,Criminal,Non-expert,Decision Tree,0.9004806816800696,0.906427142972867,0.8951672862453531,None
0.7,Criminal,Non-expert,Decision Tree,0.8888971598069333,0.8982515591035888,0.8806033567027831,None
0.8,Criminal,Non-expert,Decision Tree,0.885755126025612,0.8942177876239088,0.8780669144981412,None
0.9,Criminal,Non-expert,Decision Tree,0.8769940404509575,0.8825342109544543,0.8717779246530073,None
0.1,Criminal,Non-expert,KNN,0.8959943223174917,0.8902441689175217,0.9167904903417533,None
0.2,Criminal,Non-expert,KNN,0.9011455692873787,0.8951142211531453,0.9085501858736059,None
0.3,Criminal,Non-expert,KNN,0.9094746449854484,0.9046141025549989,0.9241823587710605,None
0.4,Criminal,Non-expert,KNN,0.9101427924669768,0.9034863261553285,0.9230483271375465,None
0.5,Criminal,Non-expert,KNN,0.907480407428846,0.900062098348136,0.917906008328376,None
0.6,Criminal,Non-expert,KNN,0.9123776930926626,0.9055044572527733,0.9244114002478315,None
0.7,Criminal,Non-expert,KNN,0.9041857945582386,0.8948305423066417,0.917569577225409,None
0.8,Criminal,Non-expert,KNN,0.9049482393094774,0.8944037882811118,0.9224907063197026,None
0.9,Criminal,Non-expert,KNN,0.8907320191323485,0.8742613950863275,0.9101123595505618,None
0.1,Criminal,Non-expert,SVM,0.8791553825029379,0.8432314998598013,0.9182763744427934,None
0.2,Criminal,Non-expert,SVM,0.8909972897318283,0.858205939663631,0.9263940520446097,None
0.3,Criminal,Non-expert,SVM,0.8877672413639083,0.8541130322636411,0.9241823587710605,None
0.4,Criminal,Non-expert,SVM,0.8937139818376367,0.8616532386230151,0.9282527881040892,None
0.5,Criminal,Non-expert,SVM,0.8981585715381218,0.8673027372095516,0.9312908982748364,None
0.6,Criminal,Non-expert,SVM,0.8986088812955919,0.8678757894445903,0.9315985130111524,None
0.7,Criminal,Non-expert,SVM,0.898909273811574,0.8682581290385216,0.9318036966220523,None
0.8,Criminal,Non-expert,SVM,0.8994253027710276,0.8689150578350217,0.9321561338289963,None
0.9,Criminal,Non-expert,SVM,0.8969077037780192,0.8657115584301552,0.9304362194315928,None
0.1,Victim,human,Bayesian Network,0.8349696635410921,0.7881091211995003,0.8877551020408163,None
0.2,Victim,human,Bayesian Network,0.8088978766430738,0.7561436672967864,0.8695652173913043,None
0.3,Victim,human,Bayesian Network,0.8270617830985306,0.7783695791447774,0.8822525597269625,None
0.4,Victim,human,Bayesian Network,0.8274768989471314,0.7960910520891717,0.8809218950064021,None
0.5,Victim,human,Bayesian Network,0.8097857348288756,0.7582387989362777,0.8688524590163934,None
0.6,Victim,human,Bayesian Network,0.8060187755653024,0.7620016552998842,0.8659265584970111,None
0.7,Victim,human,Bayesian Network,0.8125270630706654,0.7762255101909378,0.8711566617862372,None
0.8,Victim,human,Bayesian Network,0.8106035067576426,0.7598105492326618,0.8686739269698911,None
0.9,Victim,human,Bayesian Network,0.8067253941062298,0.7858467468638162,0.8661731207289294,None
0.1,Victim,llm,Bayesian Network,0.7984623986580933,0.7434662640566431,0.8622448979591837,ChatGLM4Flash
0.2,Victim,llm,Bayesian Network,0.7943234467400978,0.7384567081586332,0.8593350383631714,ChatGLM4Flash
0.3,Victim,llm,Bayesian Network,0.819720757058641,0.7693624852939462,0.8771331058020477,ChatGLM4Flash
0.4,Victim,llm,Bayesian Network,0.8226833401397243,0.8086690305000164,0.8783610755441741,ChatGLM4Flash
0.5,Victim,llm,Bayesian Network,0.8068596930053447,0.7546706163530481,0.8668032786885246,ChatGLM4Flash
0.6,Victim,llm,Bayesian Network,0.8008478655813696,0.7467735225207471,0.8633646456020495,ChatGLM4Flash
0.7,Victim,llm,Bayesian Network,0.8003119406241921,0.7471340914123791,0.8616398243045388,ChatGLM4Flash
0.8,Victim,llm,Bayesian Network,0.811191935353113,0.7642397405146388,0.866111467008328,ChatGLM4Flash
0.9,Victim,llm,Bayesian Network,0.8053120399750057,0.7679306955409243,0.8656036446469249,ChatGLM4Flash
0.1,Victim,Non-expert,Random Forest,0.805927986142863,0.7911103424420617,0.8214285714285714,None
0.2,Victim,Non-expert,Random Forest,0.842476247541397,0.8328696026905745,0.8670076726342711,None
