eps,dataset,expertType,model,f1,precision,recall,llmName
0.9,Criminal,Non-expert,Decision Tree,0.32975100610724284,0.3313997248910599,0.33245208195637804,None
0.1,Criminal,Non-expert,KNN,0.3967283604498602,0.43033079888427545,0.399702823179792,None
0.2,Criminal,Non-expert,KNN,0.4044303481243669,0.42586787992847397,0.4066914498141264,None
0.3,Criminal,Non-expert,KNN,0.4117346543497075,0.42896741376309305,0.4122893954410307,None
0.4,Criminal,Non-expert,KNN,0.39575626942160363,0.4119660504302801,0.39516728624535313,None
0.5,Criminal,Non-expert,KNN,0.38731307997718667,0.40792860194829944,0.388459250446163,None
0.6,Criminal,Non-expert,KNN,0.37301657849076814,0.3897484219964862,0.3744733581164808,None
0.7,Criminal,Non-expert,KNN,0.36067316450546666,0.3769662208953251,0.36647546207775655,None
0.8,Criminal,Non-expert,KNN,0.3340210687073756,0.34731292977372236,0.33605947955390336,None
0.9,Criminal,Non-expert,KNN,0.3095875672047897,0.3302393680685512,0.317911434236616,None
0.1,Criminal,Non-expert,SVM,0.234895865942259,0.256292422679218,0.30460624071322434,None
0.2,Criminal,Non-expert,SVM,0.25501105381447087,0.23419641713511496,0.29814126394052043,None
0.3,Criminal,Non-expert,SVM,0.2547795381509171,0.23435025470279613,0.2958374628344896,None
0.4,Criminal,Non-expert,SVM,0.2536485167343701,0.24019023910234913,0.30111524163568776,None
0.5,Criminal,Non-expert,SVM,0.24733442102183875,0.22850819594374971,0.2873289708506841,None
0.6,Criminal,Non-expert,SVM,0.25404745279653623,0.23891532490095915,0.3008674101610905,None
0.7,Criminal,Non-expert,SVM,0.2550972744739092,0.22874026494577906,0.29041852560016995,None
0.8,Criminal,Non-expert,SVM,0.2564161171034541,0.23108853544633876,0.28977695167286244,None
0.9,Criminal,Non-expert,SVM,0.25345324340728054,0.22798666638772783,0.2883344348975545,None
0.1,Victim,human,Bayesian Network,0.3958184175378759,0.39411525503809136,0.45408163265306123,None
0.2,Victim,human,Bayesian Network,0.4081714174117923,0.4160577974318163,0.46035805626598464,None
0.3,Victim,human,Bayesian Network,0.4006021854780623,0.43407041569407495,0.4300341296928328,None
0.4,Victim,human,Bayesian Network,0.4158365375331418,0.43187319786305906,0.4468629961587708,None
0.5,Victim,human,Bayesian Network,0.4067804056571015,0.4188621012134913,0.4323770491803279,None
0.6,Victim,human,Bayesian Network,0.39953899232191187,0.3995022615425403,0.4227156276686593,None
0.7,Victim,human,Bayesian Network,0.3736106262878134,0.3844785414256883,0.4019033674963397,None
0.8,Victim,human,Bayesian Network,0.3705447600250006,0.3899006793801082,0.3709160794362588,None
0.9,Victim,human,Bayesian Network,0.34022755235921165,0.4034663239080329,0.36104783599088835,None
0.1,Victim,llm,Bayesian Network,0.454338462939034,0.466502613756196,0.5,ChatGLM4Flash
0.2,Victim,llm,Bayesian Network,0.4189423947994054,0.4335868734845717,0.45524296675191817,ChatGLM4Flash
0.3,Victim,llm,Bayesian Network,0.3951020572761354,0.41855547625730954,0.4197952218430034,ChatGLM4Flash
0.4,Victim,llm,Bayesian Network,0.4083868136113255,0.4103089327293973,0.4353393085787452,ChatGLM4Flash
0.5,Victim,llm,Bayesian Network,0.3960986382321972,0.40773329361686905,0.4323770491803279,ChatGLM4Flash
0.6,Victim,llm,Bayesian Network,0.395614191246158,0.4012523723171517,0.43210930828351835,ChatGLM4Flash
0.7,Victim,llm,Bayesian Network,0.36366719760794536,0.3649798912715618,0.38433382137628114,ChatGLM4Flash
0.8,Victim,llm,Bayesian Network,0.3614914859450653,0.37061356681308943,0.36707238949391413,ChatGLM4Flash
0.9,Victim,llm,Bayesian Network,0.2934571774315039,0.3371496911606499,0.30068337129840544,ChatGLM4Flash
0.1,Victim,Non-expert,Random Forest,0.5369869340089212,0.5354223989016615,0.5510204081632653,None
0.2,Victim,Non-expert,Random Forest,0.5962284404272158,0.596836240098472,0.6010230179028133,None
0.3,Victim,Non-expert,Random Forest,0.5643261435761325,0.5648729781808511,0.5716723549488054,None
0.4,Victim,Non-expert,Random Forest,0.5487094451008747,0.5525234264186027,0.5544174135723432,None
0.5,Victim,Non-expert,Random Forest,0.5131691044409274,0.5119664368322755,0.5235655737704918,None
0.6,Victim,Non-expert,Random Forest,0.49422946728384326,0.48946498516265186,0.5098206660973527,None
0.7,Victim,Non-expert,Random Forest,0.471713554498762,0.4675217341647186,0.4868228404099561,None
0.8,Victim,Non-expert,Random Forest,0.44624523191062704,0.4459961006243418,0.4638052530429212,None
0.9,Victim,Non-expert,Random Forest,0.40858848204566994,0.4082530625823784,0.44646924829157175,None
0.1,Victim,Non-expert,Decision Tree,0.5066884887564981,0.5165617471348752,0.5051020408163265,None
0.2,Victim,Non-expert,Decision Tree,0.5532764128816945,0.5594474622783998,0.5549872122762148,None
0.3,Victim,Non-expert,Decision Tree,0.4929708072217185,0.5101075979953613,0.49146757679180886,None
0.4,Victim,Non-expert,Decision Tree,0.4996788126376469,0.51758826963335,0.4967989756722151,None
0.5,Victim,Non-expert,Decision Tree,0.47479502157029885,0.4872380499893646,0.4723360655737705,None
0.6,Victim,Non-expert,Decision Tree,0.43687111019302344,0.4433411593958748,0.43381725021349277,None
0.7,Victim,Non-expert,Decision Tree,0.44393447999222974,0.45148203117540375,0.43997071742313326,None
0.8,Victim,Non-expert,Decision Tree,0.3928680445987781,0.40512934332769257,0.3862908392056374,None
0.9,Victim,Non-expert,Decision Tree,0.3562349297632851,0.37087563844383487,0.34851936218678814,None
0.1,Victim,Non-expert,KNN,0.44160539297261703,0.4542986010899982,0.44387755102040816,None
0.2,Victim,Non-expert,KNN,0.4677733247286714,0.4854559955999653,0.4731457800511509,None
0.3,Victim,Non-expert,KNN,0.44552698101447513,0.4638145368003662,0.45563139931740615,None
0.4,Victim,Non-expert,KNN,0.4322865706111817,0.46293280653791924,0.44430217669654287,None
0.5,Victim,Non-expert,KNN,0.41430629276523795,0.41838768129489756,0.4323770491803279,None
0.6,Victim,Non-expert,KNN,0.4147819778367561,0.4207911237460436,0.4286934244235696,None
0.7,Victim,Non-expert,KNN,0.4062362182456125,0.4156836784625533,0.42093704245973645,None
0.8,Victim,Non-expert,KNN,0.3765897131080975,0.38421876138929123,0.3862908392056374,None
0.9,Victim,Non-expert,KNN,0.3495144894440272,0.36095134299732934,0.3701594533029613,None
0.1,Victim,Non-expert,SVM,0.3333333333333333,0.25,0.5,None
0.2,Victim,Non-expert,SVM,0.32062470887054956,0.238623504555831,0.4884910485933504,None
0.3,Victim,Non-expert,SVM,0.2906605849893145,0.21229134876352668,0.46075085324232085,None
0.4,Victim,Non-expert,SVM,0.29359582292930414,0.21483996517810158,0.46350832266325226,None
0.5,Victim,Non-expert,SVM,0.2780218888399379,0.20139495431335663,0.4487704918032787,None
0.6,Victim,Non-expert,SVM,0.2847461942162511,0.2071765648780922,0.4551665243381725,None
0.7,Victim,Non-expert,SVM,0.2841611028051294,0.20667207586888436,0.4546120058565154,None
0.8,Victim,Non-expert,SVM,0.2817527197613352,0.3777723024359796,0.4516335682254965,None
0.9,Victim,Non-expert,SVM,0.27978827205708084,0.2029102303329684,0.45045558086560367,None
