案发年份_code,案发月份_code,案发日期_code,案发日期敏感度_code,工作大类_code,工作小类_code,相关人性别_code,相关人年龄_code,相关人收入_code,相关人学历_code,相关人通信方式_code,金额损失_code,相关人恢复时间_code,是否报警_code,案发城市经济水平_code,相关人身份_code
2024,6,1,9,17,9,2.0,4.0,2.0,9,1,3,2,1,13,1
2024,5,1,0,8,9,2.0,5.0,1.0,9,1,3,2,1,63,1
2024,5,1,0,24,9,1.0,2.0,2.0,9,1,3,0,1,63,1
2024,4,1,3,24,9,1.0,2.0,1.0,9,1,2,2,1,63,1
2024,3,1,20,20,9,1.0,5.0,2.0,9,1,3,2,1,63,1
2021,3,1,17,8,9,1.0,5.0,2.0,6,1,2,0,1,65,1
2024,6,1,9,8,6,1.0,5.0,2.0,9,1,4,2,1,63,1
2024,6,1,9,24,9,2.0,2.0,1.0,1,1,3,0,1,13,1
2024,6,1,9,8,9,1.0,4.0,2.0,9,0,4,2,1,63,1
2024,4,1,3,24,9,2.0,7.0,2.0,9,4,2,2,1,63,1
2024,6,1,9,8,9,2.0,5.0,2.0,9,1,3,2,1,63,1
2024,4,1,3,17,10,1.0,4.0,2.0,9,1,4,2,1,63,1
2024,5,1,0,12,9,1.0,3.0,2.0,9,6,2,2,1,63,1
2024,6,1,9,24,9,2.0,4.0,1.0,9,5,2,0,1,195,1
2024,6,1,9,8,9,1.0,4.0,2.0,9,1,2,2,1,63,1
2024,5,1,0,8,9,2.0,4.0,1.0,9,5,3,2,1,63,1
2024,6,1,9,24,9,2.0,4.0,1.0,2,1,2,2,1,13,1
2024,5,1,0,24,9,1.0,7.0,2.0,6,1,3,0,1,5,1
2024,5,1,0,8,9,2.0,6.0,1.0,9,5,4,2,1,195,1
2024,5,1,0,8,9,1.0,4.0,2.0,9,1,2,2,1,13,1
2024,6,1,9,8,9,1.0,6.0,1.0,9,1,4,2,1,63,1
2024,6,1,9,8,9,1.0,5.0,1.0,9,6,2,2,1,63,1
2023,5,1,0,24,9,1.0,2.0,2.0,2,5,1,0,1,78,1
2022,10,1,0,20,9,2.0,5.0,1.0,1,1,0,0,1,78,1
2024,2,1,9,24,9,1.0,3.0,2.0,2,6,1,0,1,14,1
2024,5,1,0,17,10,2.0,6.0,2.0,9,1,3,1,1,63,1
2024,4,1,3,8,9,1.0,6.0,1.0,9,3,4,2,1,63,1
2024,6,1,9,8,9,1.0,4.0,2.0,9,1,3,2,1,63,1
2022,3,1,28,24,9,1.0,3.0,2.0,9,6,2,0,1,25,1
2024,5,1,0,8,9,2.0,4.0,2.0,9,0,3,0,1,63,1
2023,4,19,12,24,9,2.0,3.0,2.0,6,6,3,0,1,1,1
2024,6,1,9,17,9,1.0,3.0,2.0,5,1,2,0,1,63,1
2024,5,1,0,24,9,2.0,4.0,2.0,2,1,2,0,1,63,1
2024,6,1,9,24,9,2.0,3.0,2.0,6,1,2,0,1,255,1
2024,6,1,9,24,9,2.0,7.0,2.0,9,1,4,0,1,63,1
2022,12,1,24,8,9,1.0,3.0,1.0,1,6,0,0,1,78,1
2022,8,1,40,8,9,1.0,3.0,2.0,4,6,2,0,1,40,1
2024,5,1,0,12,9,1.0,4.0,2.0,9,6,3,0,1,63,1
2024,5,1,0,24,9,1.0,8.0,2.0,9,6,3,0,1,1,1
2024,6,1,9,8,9,2.0,4.0,2.0,9,6,4,2,1,63,1
2024,4,1,3,24,9,1.0,7.0,2.0,6,2,3,0,1,1,1
2024,3,1,20,24,9,2.0,3.0,1.0,9,1,2,2,1,1,1
2023,4,1,3,24,9,1.0,2.0,2.0,2,1,1,0,1,77,1
